iter	Passed	Remaining
0	6	1292
1	12	1203
2	13	893
3	23	1151
4	27	1073
5	32	1054
6	34	955
7	35	858
8	43	932
9	48	921
10	52	895
11	54	850
12	57	828
13	62	831
14	66	819
15	68	791
16	72	780
17	74	755
18	79	761
19	84	759
20	87	743
21	91	737
22	95	734
23	97	711
24	98	686
25	98	661
26	100	646
27	101	624
28	103	609
29	104	592
30	105	577
31	107	563
32	108	547
33	109	532
34	111	524
35	112	512
36	113	501
37	115	491
38	116	481
39	117	471
40	119	463
41	121	456
42	122	447
43	124	442
44	125	433
45	127	427
46	128	418
47	129	409
48	130	401
49	131	395
50	132	388
51	134	381
52	135	375
53	136	368
54	137	361
55	138	355
56	140	351
57	141	345
58	143	342
59	144	337
60	146	332
61	147	327
62	149	324
63	150	319
64	152	315
65	153	310
66	154	306
67	155	301
68	156	297
69	157	292
70	158	288
71	159	283
72	161	280
73	163	279
74	165	275
75	166	271
76	167	267
77	168	262
78	168	258
79	169	254
80	170	250
81	171	246
82	172	243
83	173	239
84	174	235
85	175	232
86	176	228
87	176	225
88	177	221
89	178	217
90	178	214
91	179	210
92	180	207
93	181	204
94	181	200
95	182	197
96	182	194
97	183	191
98	184	187
99	184	184
100	185	181
101	186	178
102	186	175
103	187	172
104	188	170
105	188	167
106	189	164
107	190	161
108	190	159
109	191	156
110	192	153
111	192	151
112	193	148
113	194	146
114	194	143
115	195	141
116	195	138
117	196	136
118	196	134
119	197	131
120	198	129
121	198	127
122	199	124
123	200	122
124	200	120
125	201	118
126	201	115
127	202	113
128	202	111
129	203	109
130	204	107
131	204	105
132	205	103
133	206	101
134	207	99
135	207	97
136	208	95
137	208	93
138	209	91
139	210	90
140	210	88
141	211	86
142	211	84
143	212	82
144	212	80
145	213	78
146	213	77
147	214	75
148	215	73
149	215	71
150	216	70
151	216	68
152	217	66
153	217	65
154	218	63
155	219	61
156	219	60
157	220	58
158	221	57
159	221	55
160	222	53
161	223	52
162	224	50
163	224	49
164	225	47
165	226	46
166	226	44
167	227	43
168	228	41
169	228	40
170	229	38
171	230	37
172	230	36
173	231	34
174	232	33
175	232	31
176	233	30
177	233	28
178	234	27
179	235	26
180	236	24
181	237	23
182	237	22
183	238	20
184	239	19
185	239	18
186	240	16
187	241	15
188	241	14
189	242	12
190	243	11
191	243	10
192	244	8
193	244	7
194	245	6
195	246	5
196	246	3
197	247	2
198	248	1
199	248	0
