iter	Passed	Remaining
0	3	317
1	5	281
2	7	253
3	9	232
4	11	217
5	13	206
6	14	197
7	17	198
8	19	193
9	20	188
10	22	185
11	25	183
12	26	178
13	28	174
14	30	171
15	33	173
16	35	172
17	36	168
18	38	164
19	40	161
20	42	158
21	43	155
22	45	152
23	47	149
24	49	147
25	50	144
26	52	141
27	54	139
28	56	137
29	58	135
30	60	134
31	62	131
32	64	130
33	66	128
34	68	127
35	70	125
36	72	122
37	74	121
38	76	119
39	78	117
40	80	116
41	83	114
42	84	112
43	86	110
44	88	108
45	90	106
46	92	104
47	95	103
48	97	101
49	99	99
50	101	97
51	103	95
52	105	93
53	107	91
54	110	90
55	111	87
56	113	85
57	115	83
58	117	81
59	119	79
60	121	77
61	123	75
62	124	73
63	126	71
64	128	69
65	130	67
66	131	65
67	133	63
68	136	61
69	138	59
70	140	57
71	142	55
72	144	53
73	146	51
74	148	49
75	150	47
76	152	45
77	154	43
78	156	41
79	158	39
80	160	37
81	162	35
82	164	33
83	165	31
84	167	29
85	169	27
86	171	25
87	173	23
88	175	21
89	177	19
90	179	17
91	181	15
92	182	13
93	184	11
94	186	9
95	188	7
96	190	5
97	192	3
98	194	1
99	196	0
