country_from,capital_from,country_to,capital_to,distance_in_km
Algeria,Algiers,Angola,Luanda,5178.730050241525
Algeria,Algiers,Benin,Porto-Novo,3362.902289203545
Algeria,Algiers,Botswana,Gaborone,7231.190059840757
Algeria,Algiers,Burkina Faso,Ouagadougou,2748.565786218739
Algeria,Algiers,Burundi,Gitega,5260.566464453769
Algeria,Algiers,Cameroon,Yaoundé,3756.928329249574
Algeria,Algiers,Cape Verde,Praia,3576.799409594416
Algeria,Algiers,Central African Republic,Bangui,3927.6992843061403
Algeria,Algiers,Chad,N'Djamena,2985.685536148312
Algeria,Algiers,Comoros,Moroni,6829.987401605549
Algeria,Algiers,Congo,Brazzaville,4730.455444929727
Algeria,Algiers,"Congo, Democratic Republic of",Kinshasa,4739.291977185066
Algeria,Algiers,Djibouti,Djibouti,4878.328628079045
Algeria,Algiers,Egypt,Cairo,2706.4813065947437
Algeria,Algiers,Equatorial Guinea,Malabo,3713.599036186723
Algeria,Algiers,Eritrea,Asmara,4260.176890244516
Algeria,Algiers,Ethiopia,Addis Ababa,4725.273382728078
Algeria,Algiers,Gabon,Libreville,4094.4743245639365
Algeria,Algiers,Gambia,Banjul,3244.457004796604
Algeria,Algiers,Ghana,Accra,3477.8955298461956
Algeria,Algiers,Guinea,Conakry,3468.0603085768535
Algeria,Algiers,Guinea-Bissau,Bissau,3337.645881852225
Algeria,Algiers,Ivory Coast,Yamoussoukro,3433.316064482935
Algeria,Algiers,Kenya,Nairobi,5475.326946995415
Algeria,Algiers,Lesotho,Maseru,7773.734998369825
Algeria,Algiers,Liberia,Monrovia,3665.791539831677
Algeria,Algiers,Libya,Tripoli,1016.2690808440743
Algeria,Algiers,Madagascar,Antananarivo,7748.279549496262
Algeria,Algiers,Malawi,Lilongwe,6491.238821734035
Algeria,Algiers,Mali,Bamako,2899.0039297429826
Algeria,Algiers,Mauritania,Nouakchott,2789.078788690725
Algeria,Algiers,Mauritius,Port Louis,8518.289344647746
Algeria,Algiers,Morocco,Rabat,948.867957258546
Algeria,Algiers,Mozambique,Maputo,7625.760069647462
Algeria,Algiers,Namibia,Windhoek,6756.265071711251
Algeria,Algiers,Niger,Niamey,2583.8156706184473
Algeria,Algiers,Nigeria,Abuja,3109.773396295832
Algeria,Algiers,Rwanda,Kigali,5126.047907811723
Algeria,Algiers,Sao Tome and Principe,Sao Tome,4064.9146208296743
Algeria,Algiers,Senegal,Dakar,3184.6714617057282
Algeria,Algiers,Seychelles,Victoria,7108.1797624342
Algeria,Algiers,Sierra Leone,Freetown,3547.6565075939357
Algeria,Algiers,Somalia,Mogadishu,5792.664163457378
Algeria,Algiers,South Africa,Pretoria,7428.575570635414
Algeria,Algiers,South Sudan,Juba,4581.722069506387
Algeria,Algiers,Sudan,Khartoum,3744.9934943168514
Algeria,Algiers,Eswatini,Mbabane,7602.189667653369
Algeria,Algiers,Tanzania,Dodoma,5855.771126212824
Algeria,Algiers,Togo,Lomé,3408.789899198719
Algeria,Algiers,Tunisia,Tunis,632.2274458695575
Algeria,Algiers,Uganda,Kampala,5060.42113748339
Algeria,Algiers,Zambia,Lusaka,6373.035499984039
Algeria,Algiers,Zimbabwe,Harare,6740.108289324872
Algeria,Algiers,Western Sahara,El Aaiún,1865.9078078795176
Algeria,Algiers,Afghanistan,Kabul,5855.362821749733
Algeria,Algiers,Armenia,Yerevan,3594.9077802274032
Algeria,Algiers,Azerbaijan,Baku,4039.836383454111
Algeria,Algiers,Bahrain,Manama,4604.246007234413
Algeria,Algiers,Bangladesh,Dhaka,8231.617253820265
Algeria,Algiers,Bhutan,Thimphu,7941.033098513128
Algeria,Algiers,Brunei,Bandar Seri Begawan,11589.776119330603
Algeria,Algiers,Burma (Myanmar),Naypyidaw,8967.84122189233
Algeria,Algiers,Cambodia,Phnom Penh,10269.145287272295
Algeria,Algiers,China,Beijing,9110.46973143374
Algeria,Algiers,East Timor,Dili,13450.855658885504
Algeria,Algiers,India,New Delhi,6825.705425481979
Algeria,Algiers,Indonesia,Jakarta,11644.873302240838
Algeria,Algiers,Iran,Tehran,4288.090261242196
Algeria,Algiers,Iraq,Baghdad,3749.0606513135717
Algeria,Algiers,Israel,Jerusalem,2989.5665811956496
Algeria,Algiers,Japan,Tokyo,10799.595805046061
Algeria,Algiers,Jordan,Amman,3046.718987488884
Algeria,Algiers,Kazakhstan,Nur-Sultan,5489.130266907672
Algeria,Algiers,"Korea, North",Pyongyang,9748.247913011546
Algeria,Algiers,"Korea, South",Seoul,9940.865691416884
Algeria,Algiers,Kuwait,Kuwait City,4223.904705304691
Algeria,Algiers,Kyrgyzstan,Bishkek,5962.762189782442
Algeria,Algiers,Laos,Vientiane,9636.724473650449
Algeria,Algiers,Lebanon,Beirut,2944.033721185063
Algeria,Algiers,Malaysia,Kuala Lumpur,10561.950118594916
Algeria,Algiers,Maldives,Malé,7990.310306170365
Algeria,Algiers,Mongolia,Ulaanbaatar,7962.158165974687
Algeria,Algiers,Nepal,Kathmandu,7565.276185252145
Algeria,Algiers,Oman,Muscat,5436.510639613819
Algeria,Algiers,Pakistan,Islamabad,6218.901898744487
Algeria,Algiers,Philippines,Manila,11369.11601589672
Algeria,Algiers,Qatar,Doha,4735.9762786378415
Algeria,Algiers,Russian Federation,Moscow,3336.636019683606
Algeria,Algiers,Saudi Arabia,Riyadh,4334.438167921429
Algeria,Algiers,Singapore,Singapore,10870.87722686406
Algeria,Algiers,Sri Lanka,Sri Jayawardenepura Kotte,8370.455529808733
Algeria,Algiers,Syria,Damascus,3024.5371679846644
Algeria,Algiers,Tajikistan,Dushanbe,5659.518801146853
Algeria,Algiers,Thailand,Bangkok,9741.339122023192
Algeria,Algiers,Turkey,Ankara,2608.7769269294777
Algeria,Algiers,Turkmenistan,Ashgabat,4811.0485110910195
Algeria,Algiers,United Arab Emirates,Abu Dhabi,5033.380167233255
Algeria,Algiers,Uzbekistan,Tashkent,5598.004293479151
Algeria,Algiers,Vietnam,Hanoi,9693.192203344808
Algeria,Algiers,Yemen,Sanaa,4692.5509529422625
Algeria,Algiers,Albania,Tirana,1529.73504478787
Algeria,Algiers,Andorra,Andorra la Vella,655.3053248486341
Algeria,Algiers,Armenia,Yerevan,3594.9077802274032
Algeria,Algiers,Austria,Vienna,1672.7758670847177
Algeria,Algiers,Azerbaijan,Baku,4039.836383454111
Algeria,Algiers,Belarus,Minsk,2676.840095178512
Algeria,Algiers,Belgium,Brussels,1572.5235869659568
Algeria,Algiers,Bosnia and Herzegovina,Sarajevo,1518.2610101532503
Algeria,Algiers,Bulgaria,Sofia,1847.6348690869352
Algeria,Algiers,Croatia,Zagreb,1473.0933181371581
Algeria,Algiers,Cyprus,Nicosia,2720.8220012260253
Algeria,Algiers,Czech Republic,Prague,1739.3318758144208
Algeria,Algiers,Denmark,Copenhagen,2223.9171106680865
Algeria,Algiers,Estonia,Tallinn,2963.560454777868
Algeria,Algiers,Finland,Helsinki,3031.7519940820403
Algeria,Algiers,France,Paris,1348.9274006291223
Algeria,Algiers,Georgia,Tbilisi,3602.059725553064
Algeria,Algiers,Germany,Berlin,1931.1026202654782
Algeria,Algiers,Greece,Athens,1825.7950281689375
Algeria,Algiers,Hungary,Budapest,1772.1695079853519
Algeria,Algiers,Iceland,Reykjavik,3472.2750931513483
Algeria,Algiers,Ireland,Dublin,1983.865062181694
Algeria,Algiers,Italy,Rome,991.5771805393836
Algeria,Algiers,Latvia,Riga,2733.5783053047758
Algeria,Algiers,Liechtenstein,Vaduz,1272.2987735480094
Algeria,Algiers,Lithuania,Vilnius,2613.925453015741
Algeria,Algiers,Luxembourg,Luxembourg,1452.3718320917642
Algeria,Algiers,North Macedonia,Skopje,1677.5839892060892
Algeria,Algiers,Malta,Valletta,1027.509542720756
Algeria,Algiers,Moldova,Chisinau,2404.9712707496014
Algeria,Algiers,Monaco,Monaco,860.867119619786
Algeria,Algiers,Montenegro,Podgorica,1521.1398479668908
Algeria,Algiers,Netherlands,Amsterdam,1743.8323640459544
Algeria,Algiers,Norway,Oslo,2634.644323286324
Algeria,Algiers,Poland,Warsaw,2221.1917018741206
Algeria,Algiers,Portugal,Lisbon,1096.1189387000643
