Continent,Country,Capital,Latitude,Longitude
Africa,Algeria,Algiers,36.737232,3.086472
Africa,Angola,Luanda,-8.839988,13.289437
Africa,Benin,Porto-Novo,6.496857,2.628852
Africa,Botswana,Gaborone,-24.628208,25.923147
Africa,Burkina Faso,Ouagadougou,12.36867,-1.527094
Africa,Burundi,Gitega,-3.426361,29.92453
Africa,Cameroon,Yaoundé,3.848,11.5021
Africa,Cape Verde,Praia,14.933,-23.5133
Africa,Central African Republic,Bangui,4.394674,18.55819
Africa,Chad,N'Djamena,12.134846,15.055742
Africa,Comoros,Moroni,-11.7022,43.2551
Africa,Congo,Brazzaville,-4.26336,15.242885
Africa,"Congo, Democratic Republic of",Kinshasa,-4.325,15.3222
Africa,Djibouti,Djibouti,11.5721,43.145
Africa,Egypt,Cairo,30.033333,31.233334
Africa,Equatorial Guinea,Malabo,3.7521,8.774
Africa,Eritrea,Asmara,15.333333,38.933334
Africa,Ethiopia,Addis Ababa,9.033333,38.7
Africa,Gabon,Libreville,0.3901,9.4544
Africa,Gambia,Banjul,13.454876,-16.579032
Africa,Ghana,Accra,5.603716,-0.186964
Africa,Guinea,Conakry,9.509167,-13.712222
Africa,Guinea-Bissau,Bissau,11.8592,-15.595
Africa,Ivory Coast,Yamoussoukro,6.8183,-5.2742
Africa,Kenya,Nairobi,-1.286389,36.817223
Africa,Lesotho,Maseru,-29.316667,27.483334
Africa,Liberia,Monrovia,6.310556,-10.804722
Africa,Libya,Tripoli,32.887209,13.191338
Africa,Madagascar,Antananarivo,-18.933333,47.516666
Africa,Malawi,Lilongwe,-13.96692,33.78725
Africa,Mali,Bamako,12.6392,-8.0029
Africa,Mauritania,Nouakchott,18.0858,-15.9785
Africa,Mauritius,Port Louis,-20.1609,57.4989
Africa,Morocco,Rabat,34.020882,-6.84165
Africa,Mozambique,Maputo,-25.966667,32.583333
Africa,Namibia,Windhoek,-22.57,17.083611
Africa,Niger,Niamey,13.516667,2.116667
Africa,Nigeria,Abuja,9.05785,7.49508
Africa,Rwanda,Kigali,-1.9536,30.0594
Africa,Sao Tome and Principe,Sao Tome,0.3365,6.7273
Africa,Senegal,Dakar,14.692778,-17.446667
Africa,Seychelles,Victoria,-4.6206,55.4544
Africa,Sierra Leone,Freetown,8.484444,-13.234444
Africa,Somalia,Mogadishu,2.046934,45.318162
Africa,South Africa,Pretoria,-25.746111,28.188056
Africa,South Sudan,Juba,4.85165,31.58247
Africa,Sudan,Khartoum,15.500654,32.559899
Africa,Eswatini,Mbabane,-26.32492,31.13814
Africa,Tanzania,Dodoma,-6.16394,35.7516
Africa,Togo,Lomé,6.128742,1.22171
Africa,Tunisia,Tunis,36.803056,10.185556
